,动词,名词
0,顶,脊梁
1,抱,枪口
2,扭,儿子
3,截,身体
5,0,钱
6,0,铜钱
7,烧,地毯
8,瞒,画框
9,贴着,花园
10,闭,光脚
11,闪,鼻尖
12,盯,眼
13,撒,脸孔
14,摇,刀
15,托,眼睛
16,抓,右手
17,保住,嘴
18,隔,轮椅
19,吊,人
20,罩,牌
21,破,0
22,0,0
23,拘禁,0
25,指,0
26,望,0
27,提,肩头
29,皱,心
30,站,0
31,跟,枪
33,移,眉头
34,倚,竹椅
35,引,斧头
36,拦,0
37,折叠,0
38,瞪,0
39,揉搓,书桌
40,关,0
43,说完,字条
44,0,0
46,养,笼子
47,抖,眉毛
48,盖,相片
49,打,0
50,移到,车子
52,问,面条
53,忍耐,碟子
54,带,毛线
55,赶,灯
56,收拾,灯芯
57,提,0
58,含,0
59,举,0
61,衔,酒杯子
62,偷,0
65,劝,眼泪
66,敲,鞭子
67,看,0
69,凑,0
70,叠,0
72,哼,0
73,调,0
74,刻,书
77,瞅,0
79,挡,乡下人
84,找,脸
87,0,0
88,分,0
89,混到,0
90,抄,经理
91,撑,盒子
92,穿着,0
93,存放,雨伞
95,咬,时间
96,嗅,衣襟
97,猜,眼皮
98,留,鞋子
99,吓,款子
101,陪,牙齿
103,倒,哑谜
104,剔,脚
108,坐,抽屉
109,掖,0
110,出来,汽车
112,拣,小刀
114,抖落,团扇
115,跪,0
118,拨,豆荚
119,护,豆子
120,绕,0
121,扶,被窝
123,0,刺刀
124,瞟,猪
125,觑,0
126,夹,脚尖
128,挨,电话线
129,打扫,背脊
130,碰,女人
132,支撑,车头
133,抬,0
134,开,0
135,瞧,刀子
136,瞥,诗句
139,嗑,扫帚
143,递给,眼儿
148,藏,0
149,拔,弟弟
150,来,婴儿
152,竖,0
153,瞄,0
158,平,股票
159,屈,0
160,搂,笔尖
162,压,音响
169,舀,0
171,擒,指挥刀
173,扛,0
174,捏,0
175,颠倒,下唇
177,接近,0
180,0,肩
181,翻,血涂脏
182,兜,0
185,卧,0
188,叫,圣经
190,骑,人头
192,搅,嘴唇
193,沾,0
194,嚼,太太
197,包,腰弯
199,垂,0
200,掩,矮子
201,送,0
203,吻,0
204,擦,0
205,牺牲,0
207,噙,0
209,偎,警卫
215,旋转,扇子
216,0,0
217,上吊,0
218,转,0
220,引导,仇敌
223,砍,0
224,拉长,0
228,招呼,0
230,弯,0
231,弓,0
234,撅,面孔
235,驮,0
238,拧,0
239,积,烟
240,归,笤帚
241,遮拦,钵子
244,刷,0
245,寻,地瓜
250,哄,0
252,吸,0
253,挣扎,爷爷
256,吓跑,0
257,抖搂,0
264,0,灯罩
266,贴身,0
269,放下,鞋
270,休息,掌
271,打,水桶
272,围聚,地
273,拖,0
275,惊,头发
277,塞,土
278,可意,0
279,贴,这番话
289,堵,剑
293,散放,交通阻塞
294,放走,短枪
295,抖掉,0
297,摆在,席面
298,0,目光
299,绊,影子
300,埋,0
302,横,县城
303,0,针眼
310,展开,0
311,扔进,0
312,生,脸颊
313,打开,0
314,0,0
316,虚掩,舌尖
318,抵,0
323,放大,机枪
324,围,敌人
325,裹,地雷
329,叼,木条
335,视为,0
340,注视,屁股
343,反,0
346,系,0
347,戴,枪管
359,哆嗦,蜡烛
361,挤,0
362,迎,0
363,缠,嘴角
366,翻动,双手
373,哭泣,枪托
378,装,梭镖
379,扳,0
380,蒙,长枪
382,弹,0
385,占,0
387,放手,梯子
388,蘸,鞋带
390,拆开,0
392,勾,0
400,去掉,0
406,灌,0
411,开放,0
412,散发,浑身
413,颠簸,0
415,摇摆,0
416,裸露,纸
417,驱使,0
419,脱,0
434,添,0
436,跺,0
437,蜷,大拇指
441,泼,0
444,0,面包
449,锁,0
450,搞,0
452,写,0
457,吹,子弹头
461,堆积,0
462,吓唬,0
464,踏,油
476,炸掉,发动机
477,捧,0
478,瞄准,大门
481,紧闭,0
484,叫做,0
486,揉,0
494,收,0
505,花,拳头
506,梳理,斗篷
510,涂,0
518,出租,0
526,捶,0
531,踢,0
542,急,0
547,掐,0
548,挨近,0
550,钉,话题
552,旋进,0
566,捎带,0
567,隐瞒,0
574,准备,0
579,浸,鸟
585,定,梳子
587,呼啸,0
591,挖,0
593,混,0
598,折,0
605,朝,0
607,对,0
613,0,0
614,关,面颊
620,按,0
625,随,泪水
632,靠,后门
653,从,被子
662,给,0
689,当,0
692,在,引擎
0,0,脊梁
2,0,儿子
8,0,画框
9,0,花园
15,0,眼睛
20,0,牌
27,0,肩头
48,0,相片
57,0,0
84,0,脸
87,0,0