,名词,动词,名词2
0,报告,提交,王子
1,消息,传呼,裴家
2,小树,挣断,心掏
3,羊,传达,玉
4,号子,介绍,连
5,匣子,交给,马弁
6,盒子,落,伯伯
7,仙人,0,丁
8,信,0,钱财
9,0,0,屠宰
10,0,0,子孙
11,0,0,马克
12,缰绳,0,伯爵
13,0,0,神甫
14,文件,扔,马夫
15,摊,0,老师傅
16,女儿,嫁,小姐
17,馒头,铺,恩索
18,房子,租,王宫
19,钱,0,罗勒
20,0,0,修道院
21,枪械,拿来,马丁
22,稿子,卖,莎
23,孩子,0,主人
24,医疗机构,0,父亲
25,0,散,孩子
26,店,移交,父母
27,刀,0,老师
28,婴儿,承包,秘书
29,心,0,面
30,笛子,抱,人
31,电筒,剖,老板
32,茶盘,拿,书
33,书,0,玩具
34,文章,0,婆婆
35,文艺,0,穷人
36,0,0,地方
37,0,0,护兵
38,0,推荐,对方
39,棉花,0,琴
40,条子,转,兵士
41,0,0,读者
42,扇子,0,人民
43,扑克牌,交,伙计
44,证件,0,铁丝网
45,钥匙,0,钥匙
46,奖品,0,优胜者
47,牲口,0,妹妹
48,车子,0,天空
49,0,0,先生
50,财路,0,珊瑚
51,命运,0,生人
52,现金,讨,士兵
53,洋火,0,稿费
54,摊子,0,奶妈
55,戏箱,0,女主人
56,儿子,0,执政者
57,食物,0,上帝
58,0,退,人间
59,0,推,营
60,0,0,医院
61,双亲,透露,祭司
62,0,匀,战友
63,包子,借,服务员
64,0,0,报告
65,0,撞,母亲
66,0,捐献,状元
67,礼物,0,韵
68,饭,0,老五
69,权力,0,瘦子
70,纸,付,全家
71,0,0,妈妈
72,身体,端,党
73,爱情,0,大哥
74,0,托,主席
75,0,0,庶务
76,0,0,兵丁
77,名字,读,铁
78,尸体,0,社
79,痔疮,0,电视台
80,血管,0,猎犬
81,0,0,国家
82,茶端,售,小组
83,0,0,屁股
84,话,0,儿媳
85,0,倒贴,印花
86,笔,赠,工作组
87,0,告,邮递员
88,血肉,捐,姑妈
89,0,亮,小号
90,腿,喂,表弟
91,肉体,0,平民
92,妹妹,0,管家
93,0,0,销路
94,0,吊唁,人们
95,灵魂,背诵,羔羊
96,内侄,0,狮子
97,0,0,卫队
98,古物,讲,勤务兵
99,0,提供,饿狗
100,0,0,子缝
101,报纸,收,裁缝
102,0,0,拍卖商
103,0,掷,信差
104,0,0,乳母
105,警备队,伸出,团长
106,遗体,送,心
107,鲜花,0,旅店
108,裤子,0,奖章
109,绳子,塞,死者
110,灯笼,0,朋友
111,秤,0,妻子
112,责任,0,警务
113,旗子,输,院长
114,灯,0,魔鬼
115,0,0,车夫
116,柿子,0,人家
117,所积,0,餐厅
118,0,0,窗户
119,衣物,0,影子
120,猪,分,市长
121,架子车,0,流水
122,0,0,船长
123,衣服,0,受伤者
124,票子,0,太太
125,0,0,亲王
126,地,推,队员
127,命,0,大夫
128,0,放,银行
129,丈夫,0,姐姐
130,狗鱼,0,浮力
131,作品,0,宿舍
132,粮食,0,车站
133,土地,0,房子
134,懒人,0,桃子
135,0,0,丈夫
136,0,0,绫子
137,图章,0,纸
138,行李,0,女儿
139,0,0,庭长
140,录音带,0,税务
141,种植园,0,男爵
142,0,0,律师
143,0,0,科学院
144,蜡板,0,驿站
145,0,奉献,婴儿
146,祖国,0,作者
147,口粮,划,稻草人
148,梦,0,朝圣者
149,0,0,俘虏
150,0,0,法学家
151,0,0,野兽
152,真理,0,生意人
153,救世主,0,理性
154,基督,0,饭店
155,骡子,0,殖民地
156,基督徒,传,幼子
157,0,0,山
158,0,0,魔术师
159,0,0,侍者
160,0,出卖,衣袋
161,0,带,警方
162,0,0,绿色
163,0,0,异族
164,0,0,出版社
165,邮票,揭示,来路
166,0,0,风
167,风筝,0,时间
168,肉,0,肉豆蔻
169,上衣,0,猫
170,铺子,0,鸽子
171,武器,0,小孩子
172,股票,0,厨师
173,0,0,错误
174,0,0,性质
175,0,0,监护人
176,0,0,男女
177,军需品,0,神
178,0,0,物主
179,行军床,0,儿子
180,床支,0,世界
181,事情,0,灵柩
182,0,0,新郎
183,箱子,0,乳娘
184,0,0,外人
185,马车,唤醒,实验室
186,剪刀,0,大学
187,0,0,新人
188,0,0,白人
189,奖章,拨,弟弟
190,店堂,0,亲人
191,酒瓶,0,书记
192,0,0,警长
193,0,0,家人
194,0,托管,阁下
195,情况,0,问话
196,0,0,助手
197,0,0,百姓
198,0,引见,仆人
199,饲料,0,通信员
200,大,0,学生
201,0,0,妈
202,手臂,0,公家
203,0,0,外国人
204,铜盆,0,屏蔽
205,女仆,呈报,饥饿
206,盆子,0,爸爸
207,脸,0,婚姻
208,0,0,王者
209,信念,0,女仆
210,蛋糕,撒,工
211,工厂,抛,天神
212,死人,伸,老爷
213,0,0,皮科
214,0,0,协理
215,0,扣,公社
216,资金,赏,客人
217,嗓音,0,年轻人
218,0,擦,蛇
219,0,0,事
220,0,0,万物
221,0,开放,楠
222,内容,0,人类
223,命令,腾,旅客
224,公文,0,0
225,胳膊,0,0
226,0,寄,0
227,0,赋,0
229,马,0,0
232,仓房,0,0
233,球,0,0
234,毛皮,0,0
235,水端,0,0
240,0,牵,0
241,财产,0,0
242,医生,0,0
243,布告,0,0
245,鱼,0,0
247,画,0,0
248,羊肉,0,0
253,俘虏,0,0
254,手稿,0,0
255,曲子,0,0
256,杯子,0,0
257,0,存进,0
258,0,画,0
260,病人,0,0
261,鸽子,0,0
263,专利,0,0
266,弹子,0,0
267,小孩,0,0
269,玩偶,0,0
272,0,交待,0
278,款子,0,0
279,斧头,0,0
280,斧子,0,0
283,长女,0,0
285,字条,0,0
286,0,解,0
287,奇迹,0,0
288,0,指,0
289,0,0,0
290,乳房,0,0
296,眼镜,0,0
298,坏人,0,0
299,尸首,0,0
301,人类,0,0
302,小费,转达,0
304,0,赶,0
305,国家,0,0
306,皇位,0,0
310,大权,0,0
311,小账,0,0
313,家具,0,0
314,枪,0,0
316,福音,0,0
317,0,丢,0
318,信件,0,0
319,邮袋,0,0
321,双手,回,0
322,骰子,0,0
323,国土,0,0
326,鞋,强加,0
328,传说,挎,0
329,酒店,0,0
332,午餐,0,0
336,妻子,0,0
337,猎物,0,0
338,事物,0,0
340,全部,0,0
342,宇宙,0,0
343,外币,0,0
346,供品,0,0
347,0,指定,0
348,物品,纳入,0
350,领地,0,0
351,画廊,0,0
353,0,献,0
354,上帝,判,0
356,母亲,0,0
357,诗歌,0,0
358,新娘,带,0
361,手提袋,带离,0
362,家丑,0,0
363,经验,带回,0
365,故事,0,0
367,窝棚,0,0
368,鲑鱼,0,0
369,弦乐器,0,0
373,袋子,展示,0
375,田地,0,0
376,0,传递,0
382,鞭子,0,0
385,动产,0,0
386,老人家,0,0
387,早餐,0,0
388,餐巾,0,0
389,业务,插,0
390,话筒,0,0
391,0,支付,0
393,妇女,系,0
395,0,0,0
402,名片,0,0
404,外孙,0,0
406,图书馆,0,0
407,面包,0,0
408,金子,踢,0
410,金钱,0,0
411,天火,0,0
412,素描,0,0
413,债务,0,0
414,0,0,0
415,权杖,0,0
416,口信,散发,0
417,兵器,0,0
418,医药,0,0
419,0,偷,0
423,帽子,烧死,0
424,被褥,0,0
425,0,转,0
427,糖果,识,0
431,心事,0,0
432,0,扔回,0
435,外套,0,0
437,政权,0,0
438,子女,0,0
441,继承权,0,0
442,罪过,吐露,0
446,计策,0,0
448,大衣,0,0
451,万花筒,0,0
454,答案,0,0
455,0,赐,0
456,0,说,0
457,光明,0,0
459,爸爸,0,0
460,伞,0,0
461,0,绑,0
462,单子,0,0
463,传票,0,0
465,0,解释,0
469,垃圾,0,0
470,单据,0,0
472,0,开,0
479,0,0,0