,Unnamed: 0,verb,名词
0,0,放过,胎儿
2,2,憋,小人
5,5,豁,公子
8,8,听,灯盏
15,15,谋害,账
22,22,冻死,对方
27,27,琢磨,话
32,32,完,老婆
36,36,捎,房门
39,39,啃,女方
50,50,睡,0
53,53,咳嗽,未婚夫
56,56,抬起,扇子
57,57,吵,戏衣
58,58,笑,儿子
63,63,折磨,电话
66,66,冒犯,人家
69,69,点着,0
71,71,弄断,脚
72,72,破除,0
80,80,崩,灯
81,81,庇护,水
84,84,解读,事实
85,85,绑,财神
88,88,倒腾,0
93,93,勒,马
97,97,笼罩,窗户
100,100,淹死,茶
101,101,扔到,表嫂
104,104,算算,0
107,107,分给,猫
114,114,拉下去,板子
115,115,压沉,早饭
121,121,谋杀,事由
125,125,沒有,汤药
128,128,宠坏,胃口
132,132,肯,0
142,142,拦,0
146,146,噎,五倍子
149,149,流放,班长
151,151,霸占,牙
152,152,修理,0
157,157,鼓动,肚子
158,158,撕扯,舢板
178,178,修改,伞
179,179,邻居,0
185,185,打捞,0
196,196,想法,耳
207,207,签,0
208,208,治,0